id,key,filename,content_type,metadata,byte_size,checksum,created_at
1,JujH9WYQM6cUNCA2uVMBo8pq,DSC00061.JPG,image/jpeg,"{""identified"":true,""width"":5152,""height"":3864,""analyzed"":true}",7342617,h2YUHFKkUmwo+UF3RXbXoA==,2018-03-08 19:48:21.545718
2,8C7GaTCHck1xsRr2ZUbW1aD8,DSC00062.JPG,image/jpeg,"{""identified"":true,""width"":5152,""height"":3864,""analyzed"":true}",6846370,vTIldSGUPT6s3iAhdUn2+Q==,2018-03-08 19:48:21.592631
4,7XHFq5VGyVDTuq79EW3X5rm8,DSC00320.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2829498,QqwS6IgXZpCWfRXV0xEFlA==,2018-03-08 19:57:03.361219
3,sCTxnaUD25UMaSyW3TKYtXnG,DSC00319.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2358238,D8UKUq2DPpps8f7SiQKigQ==,2018-03-08 19:57:03.342053
5,Te5aVQJYWcCWLdZsB9VnC1Qm,DSC00321.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2281232,omQTCImHS9FGFWBnXtJjgw==,2018-03-08 19:57:03.377284
6,NxT1dCPCkZvUhVYf95HAmfKk,DSC00322.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2461461,Dtc2t+8e8rckTonlPQg7Qg==,2018-03-08 19:57:03.394374
7,ahj8bjEwYSDf8pBCWp9zV7s2,DSC02405.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2356559,1ERH7Cuav3ngS5vcYlgubQ==,2018-03-08 19:57:40.733242
10,pnPyqA2qeaHZuaVdYKoDCCM2,DSC02408.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2295240,9UwifzEoc/KHISReAHwqkw==,2018-03-08 19:57:40.780819
8,cNVUda4P73HtKD4aZzsj9ims,DSC02406.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2421699,wIhVTybGmzYq1cRy7HRJTg==,2018-03-08 19:57:40.749924
9,A6w9zDfaBnzXFiEuNK3D2btS,DSC02407.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2220148,pjhUTAhJchBlc9d5/Rv3uw==,2018-03-08 19:57:40.765333
12,xPn2N5NJSNSpcjSnLdVijBBe,DSC02412.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2231845,lJsoAFheAjL7MPUOuHZ5nw==,2018-03-08 19:57:40.813122
11,NPnVHAtR2WfMhw4tWc2NhkD9,DSC02410.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2472740,fV4QpHPycI2q26ulKY0/Ew==,2018-03-08 19:57:40.797241
13,hGTzqUmBUxWoPwNAT5aAEiPL,DSC01437.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2475921,wCKaPjfZ7fcOMyt+FCXVJA==,2018-03-08 19:58:49.630755
14,wpzVpvEkGv3v6cJCk3qMDdN9,DSC01438.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",1712274,MM5sgob0c7JPiCfb0yxNOQ==,2018-03-08 19:58:49.645887
15,ttmWntegNvjorn67eebiF6Kb,DSC00787.JPG,image/jpeg,"{""identified"":true,""width"":5152,""height"":3864,""analyzed"":true}",7061741,ulSCYKLAkg3ZXDwO6Oc+2Q==,2018-03-08 19:59:14.910599
16,dDK6nwFHiw4zwk8Jw3jfhkdK,DSC03257.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2427466,FVNZUYTKBMthRR40nwXfTQ==,2018-03-08 19:59:51.508499
17,bnRfRUVDUDubK9DxxXPTBBGM,DSC03258.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2418875,+s1L7lgimu1DL8X4ayPDgw==,2018-03-08 19:59:51.526488
18,cwL1DqN1qjofHmfLPfPCczJq,DSC03259.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2368136,iOH8STVI29GR6LEM/Gi3jw==,2018-03-08 19:59:51.543693
